,0,1,2,3,4,5,6,7,8,9
0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0
1,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
2,2.0,5.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0
3,1.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,0.0
4,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
5,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
6,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0
7,2.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0
8,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
9,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
10,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0
11,1.0,3.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0
12,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
13,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0
14,1.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0
15,1.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0
16,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0
17,1.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
18,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0
19,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0
20,2.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0
21,2.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0
22,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
23,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0
24,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0
25,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
26,1.0,3.0,2.0,-0.0,0.0,1.0,0.0,3.0,2.0,0.0
27,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
28,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0
29,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
30,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0
31,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
32,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
33,0.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
34,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
35,2.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0
36,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
37,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,0.0,2.0
38,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,3.0
39,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0
40,1.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0
41,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,-0.0,1.0
42,2.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0
43,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
44,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0
45,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0
46,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
47,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
48,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
