,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
VPG_MAML_Mean,-70160.08333333334,-69523.0,-67508.08333333333,-69108.08333333333,-68308.08333333334,-67708.08333333334,-69352.08333333333,-70240.08333333334,-65328.083333333336,-68108.08333333334,-67508.08333333334,-68708.08333333334,-67308.08333333334,-68308.08333333334,-68266.08333333334,-68108.08333333333,-68708.08333333334,-69108.08333333333,-70042.08333333333,-67908.08333333333,-67308.08333333334,-69708.08333333334,-68908.08333333334,-67308.08333333334,-68617.08333333334,-66217.08333333334,-66308.08333333334,-67308.08333333334,-69508.08333333334,-65708.08333333334,-68218.08333333334,-66308.08333333334,-67708.08333333334,-70016.08333333333,-69708.08333333334,-70304.08333333334,-67508.08333333334,-67908.08333333334,-67108.08333333333,-66652.08333333334,-69508.08333333334,-69351.08333333334,-68108.08333333334,-68500.08333333334,-66708.08333333334,-67908.08333333333,-68908.08333333333,-67308.08333333334,-68508.08333333334,-67459.08333333334
ProMP_Mean,-32901.999939583344,-34483.16665833331,-31732.49998125,-29719.333285416673,-27247.74992291668,-37447.249975,-28267.749943750023,-26658.749760416675,-24663.333137499994,-25182.66655624999,-28213.249929166668,-25759.99988750001,-25729.833152083334,-27779.74983541667,-27978.74983750001,-27867.41639166667,-28481.416358333336,-28526.24965416668,-27141.99987291666,-24642.833077083338,-23822.249810416655,-27145.499785416654,-25717.166420833328,-25252.41643333335,-31343.833143750016,-26223.749756250018,-25101.41635833334,-26370.583110416675,-27179.499533333317,-26507.416449999997,-25290.749735416674,-26664.832960416665,-25777.3329375,-25140.249804166662,-25944.583139583323,-26946.833091666667,-24786.49984375001,-26928.41650624999,-27444.08312083334,-23819.4163875,-24678.16641875,-26252.999750000006,-24811.16646249999,-25151.91644166666,-23632.833108333332,-24937.99983958334,-27562.16639375001,-28831.083235416674,-27617.41656249999,-25253.916372916665
Random_Mean,-98670.08333333336,-94977.4166666667,-87217.74999999997,-86028.33333333328,-84350.08333333336,-83149.58333333334,-81632.00000000001,-84225.99999999999,-79067.74999999999,-87738.16666666666,-81087.25000000003,-77869.75000000001,-86024.66666666666,-74111.66666666666,-72507.91666666664,-82214.25000000001,-76710.5,-78842.16666666667,-73129.25,-77745.08333333333,-73007.91666666664,-78951.75,-75466.49999999999,-75997.58333333331,-73234.91666666661,-79901.0,-81702.83333333333,-77185.74999999999,-78480.08333333333,-75982.75,-73674.16666666667,-73049.08333333331,-70414.5,-72630.99999999999,-71845.50000000001,-76162.08333333334,-74209.08333333334,-78433.33333333334,-72578.83333333331,-73132.58333333333,-74234.25000000001,-77013.58333333334,-76353.91666666666,-74959.33333333334,-74562.99999999997,-74671.33333333333,-75740.41666666667,-73041.66666666667,-74298.66666666667,-74968.25
