,0,1,2,3,4,5,6,7,8,9
0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0
1,1.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0
2,3.0,5.0,2.0,2.0,2.0,0.0,2.0,5.0,3.0,3.0
3,2.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0
4,1.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0
5,1.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0
6,1.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0
7,2.0,6.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
8,1.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0
9,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0
10,3.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0
11,1.0,3.0,0.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0
12,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0
13,2.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0
14,1.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0
15,1.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0
16,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0
17,1.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0
18,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0
19,2.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0
20,3.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0
21,2.0,4.0,3.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0
22,2.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0
23,1.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0
24,3.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0
25,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0
26,2.0,4.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0
27,3.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0
28,3.0,4.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,1.0
29,2.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0
30,1.0,4.0,1.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0
31,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
32,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0
33,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0
34,1.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0
35,2.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0
36,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0
37,2.0,4.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0
38,2.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0
39,1.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0
40,1.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0
41,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0
42,2.0,4.0,3.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0
43,2.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
44,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0
45,3.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0
46,1.0,5.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0
47,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0
48,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
49,2.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0
50,2.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0
51,2.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0
52,2.0,3.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0
53,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
54,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0
55,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0
56,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
57,2.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0
58,1.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0
59,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
60,1.0,5.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0
61,3.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
